stage,seed,lead_names,lead_indices,prediction_sha256,n,correct,incorrect,accuracy
seed42,42,I,0,82f5b2efffd35d6c62f971212f5f9b22ea96cc6bea0e3b6e4af8486f94a287e6,936,692,244,0.7393162393162394
seed42,42,II,1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d,936,705,231,0.7532051282051282
seed42,42,III,2,dc94a8f2f00706e7186cc5de163a17420b91aaef5642ac9a7254bfe23688c93a,936,650,286,0.6944444444444444
seed42,42,aVR,3,eb2c9eb42ad09c856cf195a3c4613264f8a70cfc50f9dc055d9422f3e84251ff,936,714,222,0.7628205128205128
seed42,42,aVL,4,554e7edbd0d7adf8966bfb79f97c00c6d6cc9a8b7fa0f2efb6faac3bdb2c7717,936,647,289,0.6912393162393162
seed42,42,aVF,5,5c22b74167dde1bb2b0540a2c9478075e92c5f997939cce7968db33d2c7d5ed9,936,669,267,0.7147435897435898
seed42,42,V1,6,ac523f03ff1e73a4966a05bdf9a08178233ddb6b3ba2bbb369a7164331b98534,936,667,269,0.7126068376068376
seed42,42,V2,7,2288fe0b832a6b1781bc8fe11ab641c81951d0ab7b82464332b00fdefbd78e2b,936,699,237,0.7467948717948718
seed42,42,V3,8,ae5f0fc2550e827353e896ec103782c4cb70e5759660c6dce98bbe49ef29775a,936,689,247,0.7361111111111112
seed42,42,V4,9,47cff287f20ef50d996377fcaf9560fcca1cb867c41c6357a85f7de722554a3e,936,686,250,0.7329059829059829
seed42,42,V5,10,643c7dd22cf7f53fcd7609f76b3e71ca58347bd664b6ad4fc2c235130ea818a8,936,686,250,0.7329059829059829
seed42,42,V6,11,1159589a86cf5a66c3f3d3e22ef91af01bab9e32768f6b92cf8361eaac89210e,936,684,252,0.7307692307692307
seed42,42,I;II,0;1,a83d498c9fefa5727e84f93e67006873670615573bfb48d79a9b6e5b7005b8cb,936,713,223,0.7617521367521367
seed42,42,I;III,0;2,bb17a76a12de72d0fbe0bfddc796d53d0e1a65bc0835976cbcfb4e3ca6003ba0,936,710,226,0.7585470085470085
seed42,42,I;aVR,0;3,72b3c3b627ed2a603a40f32c5abfa07f436dcd76de59646a87256c33c9a616ff,936,716,220,0.7649572649572649
seed42,42,I;aVL,0;4,443b6e34d95ea9d90a6f9ac23df14be5a34b7b4667b0cb01e66bd2841a356bdd,936,713,223,0.7617521367521367
seed42,42,I;aVF,0;5,ba20ffda6474811d15daa4312e43ac7b938d9873ee5aaca150b4d81c5de7aaa0,936,710,226,0.7585470085470085
seed42,42,I;V1,0;6,bf0e63cfb69c8092dcff3c4446db734534235ca1c0747808a42f5e087d4dc809,936,710,226,0.7585470085470085
seed42,42,I;V2,0;7,18419ed3a99fb9192c09b3411ebef13fd112542037ba19425cbf9dec7d6b364b,936,707,229,0.7553418803418803
seed42,42,I;V3,0;8,533cb3e1119cc61b469d88ec76d5be72875294e4580455daa8fdef13340addea,936,699,237,0.7467948717948718
seed42,42,I;V4,0;9,85f7641ce1d8411651725bf95f51a857b8628af6dc12b3fc1ac30487fa92baaa,936,703,233,0.7510683760683761
seed42,42,I;V5,0;10,c4c8a318d914bbb8f75c695291352b76cbff323fcb38de8a046f9fdb6c38710b,936,698,238,0.7457264957264957
seed42,42,I;V6,0;11,27d99331dbf0bb622072c0dcba55d707a11ed0fdc2296b176bd2540598405a66,936,693,243,0.7403846153846154
seed42,42,II;III,1;2,5d9d5a0b643de618a36152a15f35cb3608c2f2141338dbd6ffc1aa75d569a484,936,717,219,0.7660256410256411
