record_id,seconds,header_sha256
A0001,15.0,bfcdff1e8e1f7e96609eb4bfbc2cd68fe4652f41fccd5052f032bfb3d57d69f8
A0002,10.0,c8e8953dfa2fad3d8fc147e4786cf438309d3f8d18cc047f02e6d219cb6b4de3
A0003,10.0,fd47cab61bb56251489065c75a5e70c36cec935814b954b08e3b54feb7aa3d07
A0004,11.948,a3307741939ba5cd0777c11393d66dddef7c4b9df6ac27a267344e3114bcf07a
A0005,25.0,85093ddf7d28fdef7da060b7e1343b1ce00cc1948ef6485ccd75f443f92a9bcb
A0006,14.0,2547fd2b5256f99ac006104e3a78cf10fb9dfaaa156ecc4b005a318be94c50de
A0007,10.0,40f85d5f62b0bbb34fa6d4d1f6e1beba7ec3a66e108543f5daafd9ad68d06a5e
A0008,15.176,c0b9a929aeecedab44285fdac553fb7fa2045aeeffb28b41744a8b0696d71103
A0009,16.0,aa39e81f67037f8d3643cd6f9ec29f5e4a380eb67f443968de35e5d910a60796
A0010,10.0,c3b7ac9df9ded6960f09aa41de4aaab96585c32de60e9948e91d44f293f7a026
A0011,36.0,aeb0810bc80e64889100e4ee2d854ca13c8622080875ff8e7181795fedae7e63
A0012,16.792,dd222fe32314457efde3936058c754c4cf9c0c2c0c2cdff723a9c276d3f733c0
A0013,16.888,35b7754eae0d57770434ac178792ce2155bc12a0c8d9afcd0c4fb4cb9351ff79
A0014,15.74,eb93ea5eba1f37f26456375d8bb9ca5968715454b673de16d0cbc29fbd7fd959
A0015,25.0,67890a4aa6e71fbdc0d45ff1740d79f7b528118ede49cd10bd0f287b969bf93d
A0016,20.0,f89637277bcec52ae934c154cc2dafb1a7d6438cc9a561fa2a7a33cc33fb3e7c
A0017,44.996,38dab6a5dacb42bba16541773fafc694852afcab172f4d2f7ccd6abadfe00443
A0018,50.358,4b8f5161abc0a7ce837d3eded047227b863cdf1642b8af51d9f7911c1ed11fc5
A0019,10.994,ac749c8f4109b6822362cfe57c0c59bbcca37ee3f519f361d48ea119f99efa88
A0020,17.0,7099ed5bafcc86b1258115e30b4919e7ee33e3bf3b13efc3cf393fbe06864fbf
A0021,10.0,5aa174e531ef7d58be1b8d16c035eadd62095611f9651e167381a8ef7cd68990
A0022,27.0,357f8925366d9e7fdcd793508d9048e2a499ba26feafc09253a05f1bac04a13a
A0023,10.0,1692d8f2fded974205dda811cb2cb57a29d11900f37aef1a0c490a56ab57658a
A0024,23.0,b611df08e3daea63b8bb6486fc81788bb3e46efabb1ea05de6cca6ac4b47ac52
A0025,10.0,1e5be3c23dcfc3453e09431e0b1fda7edca50de223f69310cb54acffa0e61858
A0026,11.0,39730d4a50d22ec369471c653d09df26c55b823dbfb952de51126213d353c047
A0027,10.0,307ee4b81cbae2b5f67d9c8def0ab632a7202232c6fa1f1b9158c938b05e474b
A0028,10.0,630c204c867cbd913a3bf2e67881ba702e677ebf186f748a5641d4e739d278db
A0029,10.0,81ae771c55bbc40006038962a9f8ac1d1af6c96b072eb3aa130364dd7a275d20
A0030,12.0,a445b33693853c1d7a2e50cd065057ca4a981ef96883164c7a5e0d33696b8f6e
