lead_indices,lead_names,measurement_contacts,sensitivity_threshold,meets_af,meets_ischemia,meets_conduction,meets_ectopy,disease_groups_met
0,I,2,0.5,1,1,1,0,3
0,I,2,0.6,1,0,1,0,2
0,I,2,0.7,1,0,1,0,2
0,I,2,0.8,1,0,0,0,1
0,I,2,0.9,1,0,0,0,1
0;1,I;II,3,0.5,1,1,1,0,3
0;1,I;II,3,0.6,1,1,1,0,3
0;1,I;II,3,0.7,1,0,1,0,2
0;1,I;II,3,0.8,1,0,1,0,2
0;1,I;II,3,0.9,1,0,0,0,1
0;1;2,I;II;III,3,0.5,1,1,1,0,3
0;1;2,I;II;III,3,0.6,1,1,1,0,3
0;1;2,I;II;III,3,0.7,1,0,1,0,2
0;1;2,I;II;III,3,0.8,1,0,1,0,2
0;1;2,I;II;III,3,0.9,1,0,0,0,1
0;1;2;3,I;II;III;aVR,3,0.5,1,1,1,0,3
0;1;2;3,I;II;III;aVR,3,0.6,1,1,1,0,3
0;1;2;3,I;II;III;aVR,3,0.7,1,0,1,0,2
0;1;2;3,I;II;III;aVR,3,0.8,1,0,1,0,2
0;1;2;3,I;II;III;aVR,3,0.9,1,0,0,0,1
0;1;2;3;4,I;II;III;aVR;aVL,3,0.5,1,1,1,0,3
0;1;2;3;4,I;II;III;aVR;aVL,3,0.6,1,1,1,0,3
0;1;2;3;4,I;II;III;aVR;aVL,3,0.7,1,0,1,0,2
0;1;2;3;4,I;II;III;aVR;aVL,3,0.8,1,0,1,0,2
0;1;2;3;4,I;II;III;aVR;aVL,3,0.9,1,0,0,0,1
0;1;2;3;4;5,I;II;III;aVR;aVL;aVF,3,0.5,1,1,1,0,3
0;1;2;3;4;5,I;II;III;aVR;aVL;aVF,3,0.6,1,1,1,0,3
0;1;2;3;4;5,I;II;III;aVR;aVL;aVF,3,0.7,1,0,1,0,2
0;1;2;3;4;5,I;II;III;aVR;aVL;aVF,3,0.8,1,0,1,0,2
0;1;2;3;4;5,I;II;III;aVR;aVL;aVF,3,0.9,1,0,0,0,1
0;1;2;3;4;5;6,I;II;III;aVR;aVL;aVF;V1,4,0.5,1,1,1,0,3
0;1;2;3;4;5;6,I;II;III;aVR;aVL;aVF;V1,4,0.6,1,1,1,0,3
0;1;2;3;4;5;6,I;II;III;aVR;aVL;aVF;V1,4,0.7,1,0,1,0,2
0;1;2;3;4;5;6,I;II;III;aVR;aVL;aVF;V1,4,0.8,1,0,1,0,2
0;1;2;3;4;5;6,I;II;III;aVR;aVL;aVF;V1,4,0.9,1,0,0,0,1
0;1;2;3;4;5;6;7,I;II;III;aVR;aVL;aVF;V1;V2,5,0.5,1,1,1,0,3
0;1;2;3;4;5;6;7,I;II;III;aVR;aVL;aVF;V1;V2,5,0.6,1,1,1,0,3
0;1;2;3;4;5;6;7,I;II;III;aVR;aVL;aVF;V1;V2,5,0.7,1,0,1,0,2
0;1;2;3;4;5;6;7,I;II;III;aVR;aVL;aVF;V1;V2,5,0.8,1,0,1,0,2
0;1;2;3;4;5;6;7,I;II;III;aVR;aVL;aVF;V1;V2,5,0.9,1,0,0,0,1
0;1;2;3;4;5;6;7;8,I;II;III;aVR;aVL;aVF;V1;V2;V3,6,0.5,1,1,1,0,3
0;1;2;3;4;5;6;7;8,I;II;III;aVR;aVL;aVF;V1;V2;V3,6,0.6,1,0,1,0,2
0;1;2;3;4;5;6;7;8,I;II;III;aVR;aVL;aVF;V1;V2;V3,6,0.7,1,0,1,0,2
0;1;2;3;4;5;6;7;8,I;II;III;aVR;aVL;aVF;V1;V2;V3,6,0.8,1,0,1,0,2
0;1;2;3;4;5;6;7;8,I;II;III;aVR;aVL;aVF;V1;V2;V3,6,0.9,1,0,0,0,1
0;1;2;3;4;5;6;7;8;9,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4,7,0.5,1,1,1,0,3
0;1;2;3;4;5;6;7;8;9,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4,7,0.6,1,0,1,0,2
0;1;2;3;4;5;6;7;8;9,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4,7,0.7,1,0,1,0,2
0;1;2;3;4;5;6;7;8;9,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4,7,0.8,1,0,1,0,2
0;1;2;3;4;5;6;7;8;9,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4,7,0.9,1,0,0,0,1
0;1;2;3;4;5;6;7;8;9;10,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5,8,0.5,1,1,1,0,3
0;1;2;3;4;5;6;7;8;9;10,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5,8,0.6,1,0,1,0,2
0;1;2;3;4;5;6;7;8;9;10,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5,8,0.7,1,0,1,0,2
0;1;2;3;4;5;6;7;8;9;10,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5,8,0.8,1,0,1,0,2
0;1;2;3;4;5;6;7;8;9;10,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5,8,0.9,1,0,0,0,1
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,9,0.5,1,1,1,0,3
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,9,0.6,1,0,1,0,2
