lead_indices,lead_names,metric,difference_vs12,ci_low,ci_high,valid,skipped,requested,seed
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,macro_f1,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,macro_sensitivity,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,auroc_af,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,f1_af,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,sensitivity_af,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,sens95_af,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,auroc_ischemia,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,f1_ischemia,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,sensitivity_ischemia,0.0,0.0,0.0,2000,0,2000,31415
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,sens95_ischemia,0.0,0.0,0.0,2000,0,2000,31415
