model,n_leads,lead_indices,lead_names,n_samples,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,runtime_sec,seed,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256,prediction_path,stage1_run_id,origin,measurement_contacts,contact_names,contacts_with_extra_drl,worst_disease_sens95,mean_disease_sens95,complete_available_leads,pareto
P1_a07,1,0,I,936,0.9027244415017533,0.6405797101449275,0.775,0.6683789679991132,0.6790553127646892,binary;multiclass,0.92123496850544,0.5947712418300654,0.7,0.5461538461538461,0.9659024103468548,0.8702702702702703,0.8944444444444445,0.9055555555555556,0.8845419172267421,0.6483180428134556,0.6424242424242425,0.5515151515151515,0.9477411500547126,0.8543417366946778,0.8047493403693932,0.7994722955145118,0.8650111384017822,0.3741935483870968,0.35365853658536583,0.3048780487804878,6.976011799999469,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,82f5b2efffd35d6c62f971212f5f9b22ea96cc6bea0e3b6e4af8486f94a287e6,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,2,LA;RA,3,0.3048780487804878,0.6403552628414266,1,1
P1_a07,3,0;1;2,I;II;III,936,0.9145001103509158,0.6927536231884058,0.7877947295423023,0.6868500295418718,0.6954845929181471,binary;multiclass,0.928974995228097,0.6622073578595318,0.7615384615384615,0.5846153846153846,0.967203115814227,0.8815426997245179,0.8888888888888888,0.9,0.8995008450261368,0.6808510638297872,0.6787878787878788,0.6545454545454545,0.9521418454498516,0.860655737704918,0.8311345646437994,0.8047493403693932,0.8719797795167648,0.348993288590604,0.3170731707317073,0.4146341463414634,6.652616100000159,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,431a8b64339447f0a216bf1e9ebd93a393d91ccf11b19ed309fe9751cb2be2e0,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-1-2.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,3,LA;LL;RA,4,0.4146341463414634,0.6934822353140778,0,1
P1_a07,6,0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,936,0.915603619510042,0.6956521739130435,0.7833333333333333,0.691546532779152,0.7006170258226374,binary;multiclass,0.9285836991792327,0.6305084745762712,0.7153846153846154,0.5538461538461539,0.9646457965902411,0.8919667590027701,0.8944444444444445,0.9111111111111111,0.907322249734701,0.6645962732919255,0.6484848484848484,0.5878787878787879,0.9507017901214099,0.8539944903581267,0.8179419525065963,0.7968337730870713,0.8685382989661279,0.4166666666666667,0.4268292682926829,0.4146341463414634,6.641828499999974,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,70a92d37697d655e3dd8e3fd50e10b7757eb58acf57708efe68d20ec767322f4,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-2-3-4-5-10.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,4,LA;LL;RA;V5,5,0.4146341463414634,0.6776144546046083,0,1
P1_a07,4,0;2;3;5,I;III;aVR;aVF,936,0.9144216385884891,0.6956521739130435,0.7839335180055401,0.6873719079427794,0.6939517292455062,binary;multiclass,0.928564611567093,0.64,0.7384615384615385,0.5461538461538461,0.9663947677836567,0.8808864265927978,0.8833333333333333,0.9055555555555556,0.8988326848249028,0.6788990825688074,0.6727272727272727,0.6484848484848484,0.9519381534132627,0.8586956521739131,0.8337730870712401,0.8100263852242744,0.8713086194093791,0.3783783783783784,0.34146341463414637,0.4268292682926829,6.575852699999814,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,b922d081470db8e9230ce663d87c1249b9342034da28a28d0d3df518e7721c47,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-2-3-5.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,3,LA;LL;RA,4,0.4268292682926829,0.6977240143893403,0,1
P1_a07,4,0;3;4;5,I;aVR;aVL;aVF,936,0.9142450771230289,0.7014492753623188,0.7899860917941586,0.6868484198572088,0.6948882704484738,binary;multiclass,0.9287077686581409,0.6511627906976745,0.7538461538461538,0.5384615384615384,0.9665564373897708,0.8808864265927978,0.8833333333333333,0.9,0.8996108949416343,0.688622754491018,0.696969696969697,0.6545454545454545,0.9516823541115002,0.8524590163934426,0.8232189973614775,0.8126649076517151,0.8727366196378591,0.3611111111111111,0.3170731707317073,0.3902439024390244,6.590110299999651,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,ed283649cc6a29511579d4060560cfcbca0a7a7260e9143c08b9a3440272a502,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-3-4-5.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,3,LA;LL;RA,4,0.3902439024390244,0.6893635661590485,0,1
P1_a07,2,0;4,I;aVL,936,0.9133132249442115,0.6927536231884058,0.791023842917251,0.6975565397638339,0.7042918894749771,binary;multiclass,0.9294426417255202,0.6360655737704918,0.7461538461538462,0.5307692307692308,0.9661302175191064,0.8802228412256268,0.8777777777777778,0.9055555555555556,0.8978579570019259,0.6787878787878788,0.6787878787878788,0.6424242424242425,0.9494891119500907,0.8602739726027397,0.8284960422163589,0.8258575197889182,0.8760781401725024,0.43243243243243246,0.3902439024390244,0.4146341463414634,6.769553199999791,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,443b6e34d95ea9d90a6f9ac23df14be5a34b7b4667b0cb01e66bd2841a356bdd,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-4.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,3,LA;LL;RA,4,0.4146341463414634,0.6971178660275449,0,1
P1_a07,2,0;6,I;V1,936,0.9097525687240982,0.6666666666666666,0.7916083916083916,0.6868425337430458,0.6962176413228605,binary;multiclass,0.9248329833937774,0.6188925081433225,0.7307692307692307,0.5153846153846153,0.9647633744855968,0.8956043956043956,0.9055555555555556,0.9111111111111111,0.8957277050662263,0.6540880503144654,0.6303030303030303,0.5575757575757576,0.9628475199310289,0.8756906077348067,0.8364116094986808,0.8575197889182058,0.8620551779288285,0.389937106918239,0.3780487804878049,0.4024390243902439,6.755754499999966,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,bf0e63cfb69c8092dcff3c4446db734534235ca1c0747808a42f5e087d4dc809,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-6.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,4,LA;LL;RA;V1,5,0.4024390243902439,0.6821614204988296,0,1
P1_a07,3,0;6;7,I;V1;V2,936,0.9078937688516149,0.6695652173913044,0.7851002865329513,0.6930351636781367,0.7017709227298005,binary;multiclass,0.9255392250429471,0.6098360655737705,0.7153846153846154,0.5538461538461539,0.9645061728395061,0.9050279329608939,0.9,0.9166666666666666,0.8911056086153364,0.6625,0.6424242424242425,0.6242424242424243,0.9639086133309333,0.8756906077348067,0.8364116094986808,0.8311345646437994,0.8657394185183069,0.4121212121212121,0.4146341463414634,0.43902439024390244,6.77634930000022,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,2db4b977fbc5d6a6dd80fac0b014fec643cc4c51d5ce1bdd832e943c2a4aef6a,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-6-7.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,5,LA;LL;RA;V1;V2,6,0.43902439024390244,0.7027670114491982,0,1
P1_a07,5,0;6;7;8;9,I;V1;V2;V3;V4,936,0.9153829176782168,0.6869565217391305,0.7883817427385892,0.6937127644177872,0.7039343671108906,binary;multiclass,0.9281733155182286,0.6188925081433225,0.7307692307692307,0.5615384615384615,0.9643004115226338,0.8950276243093923,0.9,0.9222222222222223,0.9088708092599144,0.6728395061728395,0.6606060606060606,0.6181818181818182,0.9593705442366995,0.871866295264624,0.8258575197889182,0.8311345646437994,0.8567715770834523,0.40993788819875776,0.4024390243902439,0.4146341463414634,6.416507500001899,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,d527817902ea1080084c54a52a2fda0f4bf65f0af3920820a5d41a4036b821e6,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-6-7-8-9.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V2;V3;V4,8,0.4146341463414634,0.6965431878473258,0,1
P1_a07,4,0;6;7;9,I;V1;V2;V4,936,0.9173250937982785,0.6869565217391305,0.7972222222222223,0.6951897929851344,0.7054728286493522,binary;multiclass,0.9265317808742127,0.6254071661237784,0.7384615384615385,0.5769230769230769,0.9640138154027043,0.8950276243093923,0.9,0.9222222222222223,0.9100263333726368,0.6749226006191951,0.6606060606060606,0.6181818181818182,0.9600100424911063,0.8706536856745479,0.8258575197889182,0.8522427440633246,0.8542725766836123,0.40993788819875776,0.4024390243902439,0.3902439024390244,6.868678200000431,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,d1aff13e26a6532ea67e807b0ef454ea3f5a61005e910c161c22970f1a0eb60c,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-6-7-9.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,6,LA;LL;RA;V1;V2;V4,7,0.3902439024390244,0.6957226717265973,0,1
P1_a07,5,0;6;7;9;11,I;V1;V2;V4;V6,936,0.9169670663822066,0.6753623188405797,0.7983193277310925,0.6870178702853253,0.6966785939461144,binary;multiclass,0.9289081885856079,0.6058631921824105,0.7153846153846154,0.5538461538461539,0.9658877131099354,0.9025069637883009,0.9,0.9222222222222223,0.9106944935738709,0.6625766871165644,0.6545454545454545,0.6242424242424243,0.9597779283098771,0.8690807799442897,0.8232189973614775,0.8337730870712401,0.853430056548809,0.3950617283950617,0.3902439024390244,0.32926829268292684,6.399426899999526,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,77f6b5e167d4c20fcb1019c103ac78d2d65097cb7fd6ec2a7c6a553e2bc7f6bf,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-6-7-9-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V2;V4;V6,8,0.32926829268292684,0.6773765065547033,0,1
P1_a07,3,0;6;9,I;V1;V4,936,0.9185806419971063,0.6898550724637681,0.8072625698324022,0.6916830646077846,0.7023903077066086,binary;multiclass,0.9270948654323344,0.6254071661237784,0.7384615384615385,0.6,0.9641534391534391,0.8956043956043956,0.9055555555555556,0.9222222222222223,0.9119915104350902,0.6832298136645962,0.6666666666666666,0.6,0.9578499594984439,0.8690807799442897,0.8232189973614775,0.8311345646437994,0.8559147769463642,0.38509316770186336,0.3780487804878049,0.32926829268292684,6.717007999999623,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,0064449cb536c5dafcc332b5ec20acfa9b1f6b7a9a77991760a19643e3c86ec4,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0-6-9.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,5,LA;LL;RA;V1;V4,6,0.32926829268292684,0.670656269887237,0,1
