model,n_leads,lead_indices,lead_names,n_samples,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,runtime_sec,seed,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256,prediction_path,stage1_run_id,origin,measurement_contacts,contact_names,contacts_with_extra_drl
P1_a07,1,0,I,936,0.9027244415017533,0.6405797101449275,0.775,0.6683789679991132,0.6790553127646892,binary;multiclass,0.92123496850544,0.5947712418300654,0.7,0.5461538461538461,0.9659024103468548,0.8702702702702703,0.8944444444444445,0.9055555555555556,0.8845419172267421,0.6483180428134556,0.6424242424242425,0.5515151515151515,0.9477411500547126,0.8543417366946778,0.8047493403693932,0.7994722955145118,0.8650111384017822,0.3741935483870968,0.35365853658536583,0.3048780487804878,6.976011799999469,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,82f5b2efffd35d6c62f971212f5f9b22ea96cc6bea0e3b6e4af8486f94a287e6,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_0.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,2,LA;RA,3
P1_a07,1,1,II,936,0.9112337232399028,0.6550724637681159,0.7867036011080333,0.6892795238273285,0.6995193410889402,binary;multiclass,0.931160526818095,0.6600660066006601,0.7692307692307693,0.6384615384615384,0.9657995296884185,0.8919667590027701,0.8944444444444445,0.9055555555555556,0.8897142632551194,0.6504559270516718,0.6484848484848484,0.5878787878787879,0.943818894094352,0.8464730290456431,0.8073878627968337,0.7941952506596306,0.8526732164277147,0.3974358974358974,0.3780487804878049,0.34146341463414637,6.779939199999717,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_1.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,2,LL;RA,3
P1_a07,1,2,III,936,0.8579121606709336,0.5710144927536231,0.7242921013412816,0.6182297514863323,0.6261555837673992,binary;multiclass,0.8734395877075778,0.5131578947368421,0.6,0.3230769230769231,0.9562830687830687,0.9106145251396648,0.9055555555555556,0.9055555555555556,0.8034822937546673,0.474025974025974,0.44242424242424244,0.3151515151515151,0.928740946362676,0.8390646492434664,0.8047493403693932,0.7255936675461742,0.8471754155480664,0.35428571428571426,0.3780487804878049,0.34146341463414637,6.792247800000041,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,dc94a8f2f00706e7186cc5de163a17420b91aaef5642ac9a7254bfe23688c93a,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_2.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,2,LA;LL,3
P1_a07,1,3,aVR,936,0.9125186983496407,0.6608695652173913,0.7932489451476793,0.6973619718754063,0.7061249552658266,binary;multiclass,0.9326970795953426,0.6516129032258065,0.7769230769230769,0.5692307692307692,0.9665123456790123,0.88268156424581,0.8777777777777778,0.9111111111111111,0.8970797468851943,0.6792452830188679,0.6545454545454545,0.6181818181818182,0.9511802295561882,0.863013698630137,0.8311345646437994,0.8153034300791556,0.8628691380590621,0.41025641025641024,0.3902439024390244,0.4024390243902439,6.768877500000599,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,eb2c9eb42ad09c856cf195a3c4613264f8a70cfc50f9dc055d9422f3e84251ff,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_3.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,3,LA;LL;RA,4
P1_a07,1,4,aVL,936,0.8586968782952009,0.5623188405797102,0.7155963302752294,0.6269107372960321,0.6363069461589315,binary;multiclass,0.883088375644207,0.5306122448979592,0.7,0.35384615384615387,0.9382128159905938,0.8596491228070176,0.8166666666666667,0.85,0.8011476634044726,0.5064102564102564,0.47878787878787876,0.28484848484848485,0.9311615656812078,0.8354430379746836,0.783641160949868,0.7546174142480211,0.8598846175815388,0.4024390243902439,0.4024390243902439,0.3902439024390244,6.7432907999991585,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,554e7edbd0d7adf8966bfb79f97c00c6d6cc9a8b7fa0f2efb6faac3bdb2c7717,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_4.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,3,LA;LL;RA,4
P1_a07,1,5,aVF,936,0.8807131121410532,0.6231884057971014,0.762589928057554,0.6478369809758819,0.6565700183506992,binary;multiclass,0.9068715403702997,0.6006600660066007,0.7,0.46923076923076923,0.9546590241034685,0.895774647887324,0.8833333333333333,0.8833333333333333,0.8419132963880046,0.564935064935065,0.5272727272727272,0.46060606060606063,0.9251171229210385,0.8235294117647058,0.7941952506596306,0.6912928759894459,0.8453761352601816,0.35428571428571426,0.3780487804878049,0.2682926829268293,6.762851600000431,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,5c22b74167dde1bb2b0540a2c9478075e92c5f997939cce7968db33d2c7d5ed9,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_5.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,3,LA;LL;RA,4
P1_a07,1,6,V1,936,0.8603055494249491,0.5652173913043478,0.711864406779661,0.6258046238204228,0.6404440735202045,binary;multiclass,0.8934147738117961,0.5480225988700564,0.7461538461538462,0.3769230769230769,0.9557172251616695,0.8895027624309392,0.8944444444444445,0.9111111111111111,0.8245961561136659,0.46153846153846156,0.36363636363636365,0.3575757575757576,0.960597433480339,0.8719346049046321,0.8443271767810027,0.8153034300791556,0.8540298166447706,0.35802469135802467,0.35365853658536583,0.3170731707317073,6.765250000000378,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,ac523f03ff1e73a4966a05bdf9a08178233ddb6b3ba2bbb369a7164331b98534,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_6.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,4,LA;LL;RA;V1,5
P1_a07,1,7,V2,936,0.8842688638760148,0.6057971014492753,0.7435897435897436,0.6705734832951558,0.6733227081389768,binary;multiclass,0.905888528345104,0.5821917808219178,0.6538461538461539,0.38461538461538464,0.9586860670194004,0.9008498583569405,0.8833333333333333,0.9055555555555556,0.853303462641984,0.591715976331361,0.6060606060606061,0.43636363636363634,0.9522413229560925,0.8807588075880759,0.8575197889182058,0.8258575197889182,0.869666419146627,0.3973509933774834,0.36585365853658536,0.36585365853658536,6.748063300001377,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,2288fe0b832a6b1781bc8fe11ab641c81951d0ab7b82464332b00fdefbd78e2b,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_7.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,4,LA;LL;RA;V2,5
P1_a07,1,8,V3,936,0.8899776845925598,0.6028985507246377,0.7603305785123967,0.6682721255825086,0.6763937278301138,binary;multiclass,0.9165489597251383,0.5874587458745875,0.6846153846153846,0.5230769230769231,0.9635435038212815,0.9019607843137255,0.8944444444444445,0.9166666666666666,0.8693235860551035,0.5963855421686747,0.6,0.5272727272727272,0.9419856657650532,0.8555555555555555,0.8126649076517151,0.7994722955145118,0.8554006968641115,0.4,0.3902439024390244,0.34146341463414637,6.7623066999985895,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,ae5f0fc2550e827353e896ec103782c4cb70e5759660c6dce98bbe49ef29775a,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_8.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,4,LA;LL;RA;V3,5
P1_a07,1,9,V4,936,0.9090708452880161,0.6463768115942029,0.7833333333333333,0.6583123631375368,0.669575961789103,binary;multiclass,0.9227047146401985,0.6233766233766234,0.7384615384615385,0.5384615384615384,0.9628674309229864,0.898876404494382,0.8888888888888888,0.9111111111111111,0.8970640254686948,0.6484848484848484,0.6484848484848484,0.5575757575757576,0.9373054859476182,0.8403361344537815,0.7915567282321899,0.7730870712401056,0.8454332552693209,0.2804878048780488,0.2804878048780488,0.24390243902439024,6.760186499999691,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,47cff287f20ef50d996377fcaf9560fcca1cb867c41c6357a85f7de722554a3e,outputs/exhaustive_lead_subsets/34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1/P1_a07_9.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,prior_exhaustive,4,LA;LL;RA;V4,5
