lead_indices,lead_names,measurement_contacts,seed,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,repeat_run_id,expanded_run_id,prediction_path,prediction_sha256,runtime_sec
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,9,30000,0.9149120871036563,0.7275362318840579,0.7920792079207921,0.6918919079944124,0.6983460694156363,binary;multiclass,0.929853025386524,0.6266666666666667,0.7230769230769231,0.5307692307692308,0.9667475014697238,0.9044943820224719,0.8944444444444445,0.9055555555555556,0.9070392642377079,0.676923076923077,0.6666666666666666,0.6,0.9570778245690492,0.8692098092643051,0.841688654353562,0.8179419525065963,0.8639258582281374,0.3821656050955414,0.36585365853658536,0.34146341463414637,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_0-1-2-3-4-5-6-7-8-9-10-11.npz,3274cd289decb11d565e4e4492f806dca782b5c15b06ce1987d219b659ddf70f,6.62529689999792
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,4,30000,0.9158929841339906,0.7101449275362319,0.7832167832167832,0.6876892250062981,0.6953978547498079,binary;multiclass,0.9281351402939492,0.6216216216216216,0.7076923076923077,0.5692307692307692,0.9648809523809524,0.8944444444444445,0.8944444444444445,0.9055555555555556,0.9066698109499666,0.6707317073170732,0.6666666666666666,0.593939393939394,0.9501286102044973,0.8516483516483516,0.8179419525065963,0.7968337730870713,0.8687382189981151,0.4,0.3902439024390244,0.3902439024390244,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_0-2-3-4-5-10.npz,76bb60dd26e7246bc936d76082c9197b36b114d357efe256bf33dcabe46357b2,6.362881000000925
0;2;3;5,I;III;aVR;aVF,3,30000,0.9153682042227618,0.6869565217391305,0.7900552486187845,0.6908659386597495,0.6988798823003083,binary;multiclass,0.9285168925367437,0.6468646864686468,0.7538461538461538,0.5615384615384615,0.9647927689594356,0.8846153846153846,0.8944444444444445,0.9055555555555556,0.8994929843178869,0.6829268292682927,0.6787878787878788,0.6424242424242425,0.951568665532939,0.8563611491108071,0.8258575197889182,0.8073878627968337,0.8669246587079454,0.3835616438356164,0.34146341463414637,0.4268292682926829,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_0-2-3-5.npz,55d587c61e29ba3d3c29502364271b2cc7b9e167429764ecdd4044e0d37cfca8,6.364007899996068
0;3,I;aVR,3,30000,0.9146325314500111,0.6985507246376812,0.7865168539325843,0.6928792864478625,0.7015039727846214,binary;multiclass,0.9288795571673983,0.6472491909385113,0.7692307692307693,0.5615384615384615,0.9646164021164021,0.8808864265927978,0.8833333333333333,0.9055555555555556,0.8999882089376253,0.68125,0.6606060606060606,0.6181818181818182,0.950749160362477,0.8602739726027397,0.8284960422163589,0.8100263852242744,0.8704089792654367,0.39473684210526316,0.36585365853658536,0.3902439024390244,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_0-3.npz,3e0a257408896abb87d956c6816ca9e0a06d2f09e995eab9437ad131864ee65d,6.366411599999992
1,II,2,30000,0.9127639226072242,0.6492753623188405,0.7850208044382802,0.6886882276013787,0.6981378978116219,binary;multiclass,0.9305306356174843,0.6599326599326599,0.7538461538461538,0.6538461538461539,0.9636022927689595,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.8902094878748574,0.6627906976744186,0.6909090909090909,0.5818181818181818,0.942601478898926,0.850415512465374,0.8100263852242744,0.7915567282321899,0.8455474952875993,0.3708609271523179,0.34146341463414637,0.3048780487804878,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_1.npz,0afc415e00482bfa60894881877022cb7be2d6844985656e4ebbfb2b279548eb,6.360541599999124
1;3;4;5;7,II;aVR;aVL;aVF;V2,4,30000,0.9146717673312244,0.6811594202898551,0.7856154910096819,0.7016316909404164,0.7099881652265975,binary;multiclass,0.9312464210727237,0.6534653465346535,0.7615384615384615,0.6,0.9668209876543209,0.8944444444444445,0.8944444444444445,0.9,0.9033918956097944,0.6948640483383686,0.696969696969697,0.6121212121212121,0.9554388142281256,0.8653846153846154,0.8311345646437994,0.8047493403693932,0.86336893813903,0.4,0.36585365853658536,0.3902439024390244,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_1-3-4-5-7.npz,b6c7e453d85d86017cb2af72ef4b8e65ff7f300f04602195d938665eba51d51f,6.356412799999816
1;3;6;7,II;aVR;V1;V2,5,30000,0.9146227224797077,0.6782608695652174,0.7932011331444759,0.7024862492839536,0.7108569920044274,binary;multiclass,0.9313323153273525,0.6535947712418301,0.7692307692307693,0.5846153846153846,0.9666225749559082,0.8944444444444445,0.8944444444444445,0.9,0.9027787603663089,0.6829268292682927,0.6787878787878788,0.6121212121212121,0.9570541394485157,0.8681318681318682,0.8337730870712401,0.8258575197889182,0.8639686982349917,0.41333333333333333,0.3780487804878049,0.3902439024390244,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_1-3-6-7.npz,a15d357aefe08dd6bb818381f4d7e986503429040e7ea30fc159a5610ac17970,6.360071900002367
6;7,V1;V2,5,30000,0.8933863017729715,0.6405797101449275,0.7554269175108539,0.6998343478240698,0.704558532900125,binary;multiclass,0.9150601259782403,0.6013071895424836,0.7076923076923077,0.5384615384615384,0.9624853027630805,0.9014084507042254,0.8888888888888888,0.9055555555555556,0.8684431867311245,0.6206896551724138,0.6,0.5454545454545454,0.9637570285595184,0.8885869565217391,0.862796833773087,0.8469656992084432,0.8741931798709088,0.48717948717948717,0.4634146341463415,0.5121951219512195,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30000_6-7.npz,6987d88e441dcc981ba3d18230effe9acd07704c41108624394b2da5761842a4,6.355470800001058
0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,9,30001,0.9136418254493736,0.6985507246376812,0.7921348314606742,0.6859376488449425,0.6929550981156619,binary;multiclass,0.9305783546478335,0.6163934426229508,0.7230769230769231,0.5615384615384615,0.9660126396237507,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9057736902094878,0.6708074534161491,0.6545454545454545,0.593939393939394,0.9568078141949664,0.8688524590163934,0.8390501319261213,0.820580474934037,0.8582424173187868,0.3741935483870968,0.35365853658536583,0.2926829268292683,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30001_0-1-2-3-4-5-6-7-8-9-10-11.npz,63946b0ca7102071a0882850ec389b06ee9c44047dce91a01ecd64615532ed68,6.362148100000923
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,4,30001,0.9148777557075944,0.6840579710144927,0.7804195804195804,0.6924185704009161,0.700283877551398,binary;multiclass,0.9291849589616339,0.6421404682274248,0.7384615384615385,0.5615384615384615,0.9637860082304527,0.8888888888888888,0.8888888888888888,0.9055555555555556,0.9055771725032425,0.6749226006191951,0.6606060606060606,0.6060606060606061,0.9506117866633823,0.853625170998632,0.8232189973614775,0.7941952506596306,0.8618552578968411,0.4025157232704403,0.3902439024390244,0.36585365853658536,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30001_0-2-3-4-5-10.npz,b1a780fb8da4ef273331c0e0b06d99eb02995b958d4d8e3a9c0feb38d86fa6b7,6.359016900001734
0;2;3;5,I;III;aVR;aVF,3,30001,0.9155349567179185,0.672463768115942,0.7899860917941586,0.6944584751180412,0.7013170405686011,binary;multiclass,0.9302538652414583,0.6578073089700996,0.7615384615384615,0.5769230769230769,0.9644988242210464,0.8870523415977961,0.8944444444444445,0.9055555555555556,0.8982509924144166,0.6809815950920245,0.6727272727272727,0.6484848484848484,0.9522981672453732,0.8602442333785617,0.8364116094986808,0.8126649076517151,0.8692094590735133,0.38620689655172413,0.34146341463414637,0.4024390243902439,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30001_0-2-3-5.npz,07c944d4b6287134acac9b4e55cbebe799b2b8fc9deb98fa007344db61113b92,6.35848850000184
0;3,I;aVR,3,30001,0.9141469874199957,0.6985507246376812,0.7837078651685393,0.7036383900784922,0.7104897315039538,binary;multiclass,0.9305020041992746,0.6513157894736842,0.7615384615384615,0.5692307692307692,0.9641901822457377,0.8913649025069638,0.8888888888888888,0.9055555555555556,0.8994458200683881,0.6851851851851852,0.6727272727272727,0.6424242424242425,0.950000710553616,0.8664850136239782,0.8390501319261213,0.8126649076517151,0.8711086993773919,0.423841059602649,0.3902439024390244,0.43902439024390244,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30001_0-3.npz,66186faad53a0a2c93c8817fbad4598b1f10973dea47fcbbcc372c23918045ca,6.385905000002822
1,II,2,30001,0.9096839059319748,0.6492753623188405,0.7773167358229599,0.699119470465752,0.7091744285489057,binary;multiclass,0.9309505630845581,0.6711409395973155,0.7692307692307693,0.6846153846153846,0.9638007054673722,0.9,0.9,0.9055555555555556,0.8879220217741619,0.6404833836858006,0.6424242424242425,0.5757575757575758,0.9423077834043097,0.8464730290456431,0.8073878627968337,0.7941952506596306,0.8507739761238362,0.4375,0.4268292682926829,0.43902439024390244,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30001_1.npz,8ebc5e9c65712a44b22b717f7f822c72c84a256a695eb7ecc60e397034db5dcd,6.368738800003484
1;3;4;5;7,II;aVR;aVL;aVF;V2,4,30001,0.9144804924103092,0.6956521739130435,0.7899860917941586,0.70236676673795,0.7111704164867174,binary;multiclass,0.9323057835464783,0.6514657980456026,0.7692307692307693,0.6,0.9667181069958848,0.8969359331476323,0.8944444444444445,0.9,0.9025822426600637,0.6826347305389222,0.6909090909090909,0.6363636363636364,0.9560451533137853,0.861878453038674,0.8232189973614775,0.8073878627968337,0.8607842577254812,0.4189189189189189,0.3780487804878049,0.3902439024390244,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30001_1-3-4-5-7.npz,d45e02722f17a5e26b34353dbf059f782215e35e30adae19e5526139adfd9aa8,6.366475499999069
1;3;6;7,II;aVR;V1;V2,5,30001,0.9143088354300007,0.663768115942029,0.7926136363636364,0.7074261375954944,0.7150915442324155,binary;multiclass,0.9322866959343387,0.6472491909385113,0.7692307692307693,0.5923076923076923,0.9662037037037038,0.9,0.9,0.9,0.9017883111268327,0.6932515337423313,0.6848484848484848,0.6181818181818182,0.9574236273288395,0.8641975308641975,0.8311345646437994,0.8258575197889182,0.8622693779631005,0.43243243243243246,0.3902439024390244,0.36585365853658536,59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/stability/59f35a0254ab1e0fe9f5dc2926f7dd5c781b4a1da02f35cc138699bf537d745a/seed30001_1-3-6-7.npz,4da530f139fc229298c74d4f8c308124a3a3eb49ba9f83d9a99b408d5ed8a976,6.382987700002559
