leads,seed,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20000,0.9151376934206332,0.6927536231884058,0.7897727272727273,0.6881912671475343,0.6949110699384204,binary;multiclass,0.9301775147928993,0.62,0.7153846153846154,0.5461538461538461,0.9674162257495591,0.8969359331476323,0.8944444444444445,0.9055555555555556,0.9071493141532052,0.6687306501547987,0.6545454545454545,0.6,0.9571109837377962,0.8731241473396999,0.8443271767810027,0.8258575197889182,0.8601130976180956,0.3821656050955414,0.36585365853658536,0.32926829268292684
I;aVR,20000,0.9143725937369725,0.6956521739130435,0.7915492957746478,0.6939708891743728,0.7011536663920988,binary;multiclass,0.9289749952280969,0.6423841059602649,0.7461538461538462,0.5461538461538461,0.9674456202233981,0.8876404494382022,0.8777777777777778,0.9,0.9019376645835788,0.6932515337423313,0.6848484848484848,0.6424242424242425,0.949948603288442,0.859481582537517,0.8311345646437994,0.8126649076517151,0.8732078597132575,0.3870967741935484,0.36585365853658536,0.34146341463414637
II,20000,0.9111405380220212,0.6434782608695652,0.7841530054644809,0.6844290721037283,0.6956224854294228,binary;multiclass,0.93014888337469,0.6666666666666666,0.7769230769230769,0.7,0.9680629041740153,0.8895027624309392,0.8944444444444445,0.9055555555555556,0.8914986440278267,0.658753709198813,0.6727272727272727,0.6060606060606061,0.9449131466630034,0.8472222222222222,0.8047493403693932,0.8021108179419525,0.8465328154452505,0.36,0.32926829268292684,0.3780487804878049
II;aVR;V1;V2,20000,0.9164668088967359,0.6840579710144927,0.792022792022792,0.699534535044706,0.7072504983200651,binary;multiclass,0.9324775720557359,0.6449511400651465,0.7615384615384615,0.6,0.9680261610817167,0.8944444444444445,0.8944444444444445,0.9,0.9030931886963016,0.6788990825688074,0.6727272727272727,0.6303030303030303,0.9581104958243133,0.873972602739726,0.841688654353562,0.8364116094986808,0.8649397383903581,0.40540540540540543,0.36585365853658536,0.35365853658536583
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20001,0.9153093504009417,0.7072463768115942,0.7892503536067893,0.6896317075447296,0.6969178020783657,binary;multiclass,0.929595342622638,0.6229508196721312,0.7307692307692307,0.5384615384615384,0.9670928865373309,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9077467279801911,0.6790123456790124,0.6666666666666666,0.6,0.9571204577860096,0.8700410396716827,0.8390501319261213,0.820580474934037,0.8647969383675101,0.3741935483870968,0.35365853658536583,0.3048780487804878
I;aVR,20001,0.9150739351136614,0.6956521739130435,0.7916666666666666,0.6886337863823986,0.695023786304435,binary;multiclass,0.9298339377743844,0.6312292358803987,0.7307692307692307,0.5461538461538461,0.9653439153439154,0.8808864265927978,0.8833333333333333,0.9,0.8993750736941398,0.672782874617737,0.6666666666666666,0.6,0.9506070496392757,0.8555858310626703,0.8284960422163589,0.8021108179419525,0.8701804992288799,0.40268456375838924,0.36585365853658536,0.4024390243902439
II,20001,0.9111699649329311,0.6318840579710145,0.7856154910096819,0.6800328234528987,0.6904328782885962,binary;multiclass,0.9311032639816759,0.6622516556291391,0.7692307692307693,0.6692307692307692,0.9653218694885363,0.8919667590027701,0.8944444444444445,0.9055555555555556,0.8885587391423967,0.650887573964497,0.6666666666666666,0.5878787878787879,0.9421325135123612,0.8437067773167358,0.8047493403693932,0.8021108179419525,0.8468184154909465,0.35135135135135137,0.3170731707317073,0.35365853658536583
II;aVR;V1;V2,20001,0.9165109492631011,0.6782608695652174,0.7954866008462623,0.7018166437211844,0.7093185304659659,binary;multiclass,0.9329738499713686,0.6449511400651465,0.7615384615384615,0.5923076923076923,0.9678571428571429,0.8944444444444445,0.8944444444444445,0.9,0.9034940848170421,0.6850152905198776,0.6787878787878788,0.6060606060606061,0.9573241498225984,0.8657534246575342,0.8337730870712401,0.8284960422163589,0.8695093391214942,0.4189189189189189,0.3780487804878049,0.3780487804878049
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20002,0.9138085779445303,0.6927536231884058,0.7870239774330042,0.6827368724618486,0.6888674179857655,binary;multiclass,0.9304161099446459,0.6127946127946128,0.7,0.5153846153846153,0.9673500881834215,0.8969359331476323,0.8944444444444445,0.9055555555555556,0.9053256298392486,0.6605504587155964,0.6545454545454545,0.593939393939394,0.9576415304377484,0.8692098092643051,0.841688654353562,0.8232189973614775,0.8625978180156508,0.3741935483870968,0.35365853658536583,0.3048780487804878
I;aVR,20002,0.9137595330930136,0.7043478260869566,0.7937853107344632,0.6984102972597562,0.7052853423971256,binary;multiclass,0.9281828593242986,0.6384364820846905,0.7538461538461538,0.5307692307692308,0.9657186948853616,0.8864265927977839,0.8888888888888888,0.9055555555555556,0.8992099988208938,0.691358024691358,0.6787878787878788,0.6363636363636364,0.9511707555079749,0.8676671214188267,0.8390501319261213,0.820580474934037,0.8691094990575199,0.40816326530612246,0.36585365853658536,0.3780487804878049
II,20002,0.910694229873219,0.6666666666666666,0.7867950481430537,0.6949443862774389,0.705207088783252,binary;multiclass,0.93082649360565,0.6755852842809364,0.7769230769230769,0.6615384615384615,0.9667328042328043,0.8969359331476323,0.8944444444444445,0.9055555555555556,0.8897457060881185,0.6646884272997032,0.6787878787878788,0.5757575757575758,0.9417156553909702,0.850415512465374,0.8100263852242744,0.8021108179419525,0.8511166961786714,0.3870967741935484,0.36585365853658536,0.3780487804878049
II;aVR;V1;V2,20002,0.9141175605090858,0.6840579710144927,0.7893258426966292,0.6994032586443748,0.7068090219695857,binary;multiclass,0.9330406566138576,0.6449511400651465,0.7615384615384615,0.5846153846153846,0.9675264550264551,0.8938547486033519,0.8888888888888888,0.9,0.9019691074165783,0.6909090909090909,0.6909090909090909,0.6242424242424243,0.9583378729814356,0.8700410396716827,0.8390501319261213,0.8390501319261213,0.8652253384360541,0.3972602739726027,0.35365853658536583,0.4024390243902439
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20003,0.9146864807866794,0.7101449275362319,0.7926657263751763,0.6827154767075874,0.6906262679266091,binary;multiclass,0.9314277533880511,0.6274509803921569,0.7384615384615385,0.5384615384615384,0.9669459141681364,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9064104075777227,0.6687306501547987,0.6545454545454545,0.6060606060606061,0.9570446654003023,0.8673050615595075,0.8364116094986808,0.8337730870712401,0.8617124578739932,0.35064935064935066,0.32926829268292684,0.3170731707317073
I;aVR,20003,0.914112656023934,0.6898550724637681,0.7876230661040787,0.690809583220449,0.6977743690550178,binary;multiclass,0.9303111280778775,0.631578947368421,0.7384615384615385,0.5615384615384615,0.9664315108759554,0.8857938718662952,0.8833333333333333,0.9055555555555556,0.8982116888731676,0.6851851851851852,0.6727272727272727,0.6363636363636364,0.9515070842195515,0.8567530695770805,0.8284960422163589,0.8153034300791556,0.8744502199120351,0.39473684210526316,0.36585365853658536,0.34146341463414637
II,20003,0.9115574192599132,0.6695652173913044,0.7905686546463245,0.6861328951802874,0.6979214456664742,binary;multiclass,0.9303588471082267,0.6578947368421053,0.7692307692307693,0.6384615384615384,0.9660934744268077,0.8944444444444445,0.8944444444444445,0.9055555555555556,0.8892897850096293,0.6449704142011834,0.6606060606060606,0.5757575757575758,0.9445247106862527,0.8487394957983193,0.7994722955145118,0.7941952506596306,0.8539869766379165,0.38461538461538464,0.36585365853658536,0.35365853658536583
II;aVR;V1;V2,20003,0.9150690306285096,0.6985507246376812,0.7903682719546742,0.7055920231965287,0.7130382940525164,binary;multiclass,0.9324489406375263,0.6514657980456026,0.7692307692307693,0.5769230769230769,0.9666078777189889,0.9,0.9,0.9,0.901599654128837,0.676923076923077,0.6666666666666666,0.6121212121212121,0.9578215373538036,0.8700410396716827,0.8390501319261213,0.8311345646437994,0.8673673387787743,0.42953020134228187,0.3902439024390244,0.35365853658536583
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20004,0.91536329973761,0.7072463768115942,0.7915492957746478,0.6890707797349791,0.6957669808722,binary;multiclass,0.9315422790608894,0.6241610738255033,0.7153846153846154,0.5538461538461539,0.9671369782480893,0.9044943820224719,0.8944444444444445,0.9055555555555556,0.9082419525999293,0.6666666666666666,0.6545454545454545,0.6060606060606061,0.9576983747270289,0.8649386084583902,0.8364116094986808,0.8179419525065963,0.8609841777574685,0.38509316770186336,0.3780487804878049,0.35365853658536583
I;aVR,20004,0.915260305549425,0.6956521739130435,0.7994350282485876,0.7036015578112097,0.7118195109050376,binary;multiclass,0.9291276961252147,0.6468646864686468,0.7538461538461538,0.5615384615384615,0.9653071722516168,0.888268156424581,0.8833333333333333,0.9055555555555556,0.9015446291710885,0.6871165644171779,0.6787878787878788,0.6242424242424243,0.9519713125820097,0.8626373626373627,0.8284960422163589,0.8126649076517151,0.869595019135203,0.43312101910828027,0.4146341463414634,0.3780487804878049
II,20004,0.910723656784129,0.6550724637681159,0.7811634349030471,0.6800160499636081,0.6909067467559005,binary;multiclass,0.9295094483680091,0.6556291390728477,0.7615384615384615,0.676923076923077,0.964564961787184,0.8913649025069638,0.8888888888888888,0.9055555555555556,0.8869865974924341,0.6510263929618768,0.6727272727272727,0.5636363636363636,0.9426251640194596,0.8467966573816156,0.8021108179419525,0.7968337730870713,0.8481892957102873,0.35526315789473684,0.32926829268292684,0.3170731707317073
II;aVR;V1;V2,20004,0.9163294833124893,0.7072463768115942,0.7944055944055944,0.7049738021930535,0.7141761994146317,binary;multiclass,0.9327734300439015,0.6601307189542484,0.7769230769230769,0.5923076923076923,0.9671296296296297,0.9,0.9,0.9,0.9043823448492708,0.696969696969697,0.696969696969697,0.6181818181818182,0.9585605131144512,0.8677685950413223,0.8311345646437994,0.8337730870712401,0.8640400982464157,0.4,0.36585365853658536,0.35365853658536583
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20005,0.9155349567179185,0.7014492753623188,0.7943262411347518,0.6981261390693876,0.7039679688067615,binary;multiclass,0.9305306356174843,0.6262626262626263,0.7153846153846154,0.5153846153846153,0.9671369782480894,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9076523994811933,0.6749226006191951,0.6606060606060606,0.5818181818181818,0.9578262743779102,0.8722826086956522,0.8469656992084432,0.8232189973614775,0.8627834580453533,0.4177215189873418,0.4024390243902439,0.32926829268292684
I;aVR,20005,0.9154908163515535,0.6840579710144927,0.7949438202247191,0.6994806642990394,0.7063426174900529,binary;multiclass,0.9292040465737736,0.6360655737704918,0.7461538461538462,0.5384615384615384,0.9665858318636097,0.8913649025069638,0.8888888888888888,0.9055555555555556,0.8993279094446409,0.6932515337423313,0.6848484848484848,0.6424242424242425,0.9512039146767217,0.8633879781420765,0.8337730870712401,0.8153034300791556,0.8737933398069344,0.41333333333333333,0.3780487804878049,0.3780487804878049
II,20005,0.9119301601314402,0.6434782608695652,0.7788595271210014,0.6838098736672021,0.6949698047767422,binary;multiclass,0.9301584271807597,0.6534653465346535,0.7615384615384615,0.6538461538461539,0.9659171075837742,0.8944444444444445,0.8944444444444445,0.9055555555555556,0.8901072986676101,0.6627565982404692,0.6848484848484848,0.5818181818181818,0.9425067384167918,0.8507670850767085,0.8047493403693932,0.8047493403693932,0.8512309361969498,0.3576158940397351,0.32926829268292684,0.2926829268292683
II;aVR;V1;V2,20005,0.9153387773118516,0.6782608695652174,0.7858156028368795,0.7115042280904275,0.7184292653524909,binary;multiclass,0.9322771521282688,0.6578947368421053,0.7692307692307693,0.5769230769230769,0.9677395649617871,0.9,0.9,0.9,0.9028809495735566,0.6892307692307692,0.6787878787878788,0.6121212121212121,0.9576036342448947,0.8703956343792633,0.841688654353562,0.8311345646437994,0.8651396584223453,0.44,0.4024390243902439,0.3780487804878049
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20006,0.9143480713112141,0.6898550724637681,0.7899159663865546,0.6988283377368416,0.7053050661860752,binary;multiclass,0.9297957625501051,0.6333333333333333,0.7307692307692307,0.5230769230769231,0.966710758377425,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9059859293322328,0.6728971962616822,0.6545454545454545,0.5818181818181818,0.9571015096895827,0.8707482993197279,0.8443271767810027,0.8073878627968337,0.86158393785343,0.4177215189873418,0.4024390243902439,0.34146341463414637
I;aVR,20006,0.9135388312611884,0.6869565217391305,0.7865168539325843,0.6983455481641266,0.7064675936572454,binary;multiclass,0.9293281160526818,0.6513157894736842,0.7615384615384615,0.5692307692307692,0.9655423280423281,0.8864265927977839,0.8888888888888888,0.9055555555555556,0.899249302362143,0.683076923076923,0.6727272727272727,0.6181818181818182,0.9501286102044973,0.863013698630137,0.8311345646437994,0.8047493403693932,0.8775632604101218,0.40789473684210525,0.3780487804878049,0.36585365853658536
II,20006,0.9103705338532087,0.6463768115942029,0.7840440165061898,0.6949589532599696,0.7058672334237042,binary;multiclass,0.9294330979194503,0.6600660066006601,0.7692307692307693,0.6461538461538462,0.9643077601410933,0.8913649025069638,0.8888888888888888,0.9055555555555556,0.8887316747238927,0.6626506024096386,0.6666666666666666,0.5757575757575758,0.941871977186492,0.8456189151599444,0.8021108179419525,0.7915567282321899,0.8555434968869595,0.41509433962264153,0.4024390243902439,0.35365853658536583
