model,n_leads,metric,count,best,median,worst,mean,variance,top_leads
P1_a07,1,macro_f1,12,0.6973619718754063,0.6578024492503891,0.6182297514863323,0.6562663182833062,0.0005561618759283628,aVR
P1_a07,1,macro_sensitivity,12,0.7061249552658266,0.6696815639402035,0.6261555837673992,0.6659306725694524,0.0005307849751911444,aVR
P1_a07,1,binary_auroc,12,0.9125186983496407,0.8963510630471565,0.8579121606709336,0.890497560018637,0.00043659432800427495,aVR
P1_a07,1,sens_at_95sp,12,0.663768115942029,0.6318840579710145,0.5623188405797102,0.6205314009661835,0.001335095334780275,V6
P1_a07,1,auroc_nsr,12,0.9326970795953426,0.9180998282114907,0.8734395877075778,0.9108147229114972,0.00032602379367544166,aVR
P1_a07,1,f1_nsr,12,0.6600660066006601,0.5911149938523264,0.5131578947368421,0.590938865963438,0.0018406117409861952,II
P1_a07,1,sensitivity_nsr,12,0.7769230769230769,0.7153846153846153,0.6,0.7128205128205128,0.0023800131492439196,aVR
P1_a07,1,sens95_nsr,12,0.6384615384615384,0.4884615384615385,0.3230769230769231,0.4749999999999999,0.008600838264299799,II
P1_a07,1,auroc_af,12,0.9665123456790123,0.963205467372134,0.9382128159905938,0.959869194591417,6.030637330716796e-05,aVR
P1_a07,1,f1_af,12,0.9106145251396648,0.8907347607168546,0.8596491228070176,0.88968406060331,0.00018212345022855934,III
P1_a07,1,sensitivity_af,12,0.9055555555555556,0.8861111111111111,0.8166666666666667,0.8833333333333333,0.0004578189300411527,III
P1_a07,1,sens95_af,12,0.9166666666666666,0.9055555555555556,0.85,0.9013888888888887,0.00029899691358024704,V3
P1_a07,1,auroc_ischemia,12,0.9049325944267579,0.8769327516409229,0.8011476634044726,0.863562997026032,0.0013118410539450832,V5
P1_a07,1,f1_ischemia,12,0.6792452830188679,0.6223517924910651,0.46153846153846156,0.5940170941622952,0.005325377016158653,aVR
P1_a07,1,sensitivity_ischemia,12,0.6545454545454545,0.6212121212121212,0.36363636363636365,0.5752525252525252,0.008928425670849912,aVR
P1_a07,1,sens95_ischemia,12,0.6181818181818182,0.5393939393939393,0.28484848484848485,0.48939393939393944,0.012428068564432201,aVR
P1_a07,1,auroc_conduction,12,0.960597433480339,0.9421490930967349,0.9251171229210385,0.9414681458813945,0.0001009749512744841,V1
P1_a07,1,f1_conduction,12,0.8807588075880759,0.847059229204262,0.8235294117647058,0.8495383109651563,0.00024777065009088875,V2
P1_a07,1,sensitivity_conduction,12,0.8575197889182058,0.8060686015831134,0.783641160949868,0.8106860158311345,0.00047354747831979295,V2
P1_a07,1,sens95_conduction,12,0.8258575197889182,0.7889182058047493,0.6912928759894459,0.7792436235708003,0.0014275558897219834,V2
P1_a07,1,auroc_ectopy,12,0.869666419146627,0.8533515165362426,0.84334837493574,0.8537656366025019,7.371185205779072e-05,V2
P1_a07,1,f1_ectopy,12,0.41025641025641024,0.36610911987256073,0.2676056338028169,0.3571532597223314,0.002394133966924504,aVR
P1_a07,1,sensitivity_ectopy,12,0.4024390243902439,0.3719512195121951,0.23170731707317074,0.34756097560975613,0.002838092405314297,aVL
P1_a07,1,sens95_ectopy,12,0.4024390243902439,0.32926829268292684,0.24390243902439024,0.3221544715447154,0.0023413229559124866,aVR
P1_a07,2,macro_f1,66,0.7024198136046111,0.6756217281413586,0.6485188670688341,0.6772906284079372,0.00014323019474376617,I;aVR
P1_a07,2,macro_sensitivity,66,0.7094814966158038,0.6857713764094484,0.6601974164011619,0.6859041985590728,0.00014001654847893585,I;aVR
P1_a07,2,binary_auroc,66,0.9177763064322323,0.9120552245028077,0.8792760979916134,0.9091950179348105,6.643436132803384e-05,aVR;V4
P1_a07,2,sens_at_95sp,66,0.6956521739130435,0.6666666666666666,0.591304347826087,0.6640755379885814,0.0005904358742761675,I;II
P1_a07,2,auroc_nsr,66,0.9331647260927659,0.9254008398549343,0.8973754533307883,0.9248834498834498,4.277623056158944e-05,aVR;V1
P1_a07,2,f1_nsr,66,0.6644951140065146,0.6203576053807912,0.563953488372093,0.6212973977962953,0.00042771314522058927,II;V2
