stage,seed,lead_names,lead_indices,prediction_sha256,class,actual_positive,actual_negative,TP_found,FN_missed,FP_wrong_classification,TN,precision,sensitivity,specificity,f1
seed42,42,II,1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d,NSR,130,806,100,30,73,733,0.5780346820809249,0.7692307692307693,0.9094292803970224,0.6600660066006601
seed42,42,II,1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d,AF,180,756,161,19,20,736,0.8895027624309392,0.8944444444444445,0.9735449735449736,0.8919667590027701
seed42,42,II,1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d,ST_change_ischemia_surrogate,165,771,107,58,57,714,0.6524390243902439,0.6484848484848484,0.926070038910506,0.6504559270516718
seed42,42,II,1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d,conduction,379,557,306,73,38,519,0.8895348837209303,0.8073878627968337,0.9317773788150808,0.8464730290456431
seed42,42,II,1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d,ectopy,82,854,31,51,43,811,0.4189189189189189,0.3780487804878049,0.949648711943794,0.3974358974358974
seed42,42,I;aVR,0;3,72b3c3b627ed2a603a40f32c5abfa07f436dcd76de59646a87256c33c9a616ff,NSR,130,806,98,32,76,730,0.5632183908045977,0.7538461538461538,0.9057071960297768,0.6447368421052632
seed42,42,I;aVR,0;3,72b3c3b627ed2a603a40f32c5abfa07f436dcd76de59646a87256c33c9a616ff,AF,180,756,158,22,20,736,0.8876404494382022,0.8777777777777778,0.9735449735449736,0.88268156424581
seed42,42,I;aVR,0;3,72b3c3b627ed2a603a40f32c5abfa07f436dcd76de59646a87256c33c9a616ff,ST_change_ischemia_surrogate,165,771,113,52,47,724,0.70625,0.6848484848484848,0.9390402075226978,0.6953846153846154
seed42,42,I;aVR,0;3,72b3c3b627ed2a603a40f32c5abfa07f436dcd76de59646a87256c33c9a616ff,conduction,379,557,314,65,39,518,0.8895184135977338,0.8284960422163589,0.9299820466786356,0.8579234972677595
seed42,42,I;aVR,0;3,72b3c3b627ed2a603a40f32c5abfa07f436dcd76de59646a87256c33c9a616ff,ectopy,82,854,33,49,38,816,0.4647887323943662,0.4024390243902439,0.955503512880562,0.4313725490196078
seed42,42,V1;V2,6;7,5a486378cf589faecfa3ed9b76732ef78f58f92356bb8542187569fda451f820,NSR,130,806,93,37,81,725,0.5344827586206896,0.7153846153846154,0.8995037220843672,0.6118421052631579
seed42,42,V1;V2,6;7,5a486378cf589faecfa3ed9b76732ef78f58f92356bb8542187569fda451f820,AF,180,756,161,19,14,742,0.92,0.8944444444444445,0.9814814814814816,0.9070422535211268
seed42,42,V1;V2,6;7,5a486378cf589faecfa3ed9b76732ef78f58f92356bb8542187569fda451f820,ST_change_ischemia_surrogate,165,771,98,67,51,720,0.6577181208053692,0.593939393939394,0.933852140077821,0.6242038216560509
seed42,42,V1;V2,6;7,5a486378cf589faecfa3ed9b76732ef78f58f92356bb8542187569fda451f820,conduction,379,557,333,46,30,527,0.9173553719008264,0.8786279683377308,0.9461400359066428,0.8975741239892183
seed42,42,V1;V2,6;7,5a486378cf589faecfa3ed9b76732ef78f58f92356bb8542187569fda451f820,ectopy,82,854,37,45,38,816,0.4933333333333333,0.4512195121951219,0.955503512880562,0.4713375796178344
seed42,42,I;III;aVR;aVF,0;2;3;5,b922d081470db8e9230ce663d87c1249b9342034da28a28d0d3df518e7721c47,NSR,130,806,96,34,74,732,0.5647058823529412,0.7384615384615385,0.9081885856079404,0.64
seed42,42,I;III;aVR;aVF,0;2;3;5,b922d081470db8e9230ce663d87c1249b9342034da28a28d0d3df518e7721c47,AF,180,756,159,21,22,734,0.8784530386740331,0.8833333333333333,0.9708994708994708,0.8808864265927978
seed42,42,I;III;aVR;aVF,0;2;3;5,b922d081470db8e9230ce663d87c1249b9342034da28a28d0d3df518e7721c47,ST_change_ischemia_surrogate,165,771,111,54,51,720,0.6851851851851852,0.6727272727272727,0.933852140077821,0.6788990825688074
seed42,42,I;III;aVR;aVF,0;2;3;5,b922d081470db8e9230ce663d87c1249b9342034da28a28d0d3df518e7721c47,conduction,379,557,316,63,41,516,0.8851540616246498,0.8337730870712401,0.926391382405745,0.8586956521739131
seed42,42,I;III;aVR;aVF,0;2;3;5,b922d081470db8e9230ce663d87c1249b9342034da28a28d0d3df518e7721c47,ectopy,82,854,28,54,38,816,0.4242424242424242,0.3414634146341463,0.955503512880562,0.3783783783783784
seed42,42,II;aVR;V1;V2,1;3;6;7,f7a2af1c2ba4c48a698ad6fefa0a820f52bcc85619ac1a3849404e5beb221629,NSR,130,806,101,29,75,731,0.5738636363636364,0.7769230769230769,0.9069478908188584,0.6601307189542484
seed42,42,II;aVR;V1;V2,1;3;6;7,f7a2af1c2ba4c48a698ad6fefa0a820f52bcc85619ac1a3849404e5beb221629,AF,180,756,161,19,18,738,0.8994413407821229,0.8944444444444445,0.9761904761904762,0.8969359331476323
seed42,42,II;aVR;V1;V2,1;3;6;7,f7a2af1c2ba4c48a698ad6fefa0a820f52bcc85619ac1a3849404e5beb221629,ST_change_ischemia_surrogate,165,771,113,52,50,721,0.6932515337423313,0.6848484848484848,0.9351491569390402,0.6890243902439024
seed42,42,II;aVR;V1;V2,1;3;6;7,f7a2af1c2ba4c48a698ad6fefa0a820f52bcc85619ac1a3849404e5beb221629,conduction,379,557,318,61,34,523,0.9034090909090908,0.8390501319261213,0.9389587073608616,0.8700410396716827
seed42,42,II;aVR;V1;V2,1;3;6;7,f7a2af1c2ba4c48a698ad6fefa0a820f52bcc85619ac1a3849404e5beb221629,ectopy,82,854,30,52,36,818,0.4545454545454545,0.3658536585365853,0.9578454332552692,0.4054054054054054
seed42,42,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,0;1;2;3;4;5;6;7;8;9;10;11,b45e21c9f0fe6072767bfd9f55a4d70c48703c024a26b76ac88d0e7002c41751,NSR,130,806,95,35,74,732,0.5621301775147929,0.7307692307692307,0.9081885856079404,0.6354515050167224
seed42,42,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,0;1;2;3;4;5;6;7;8;9;10;11,b45e21c9f0fe6072767bfd9f55a4d70c48703c024a26b76ac88d0e7002c41751,AF,180,756,161,19,17,739,0.904494382022472,0.8944444444444445,0.9775132275132276,0.8994413407821229
seed42,42,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,0;1;2;3;4;5;6;7;8;9;10;11,b45e21c9f0fe6072767bfd9f55a4d70c48703c024a26b76ac88d0e7002c41751,ST_change_ischemia_surrogate,165,771,107,58,50,721,0.6815286624203821,0.6484848484848484,0.9351491569390402,0.6645962732919255
seed42,42,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,0;1;2;3;4;5;6;7;8;9;10;11,b45e21c9f0fe6072767bfd9f55a4d70c48703c024a26b76ac88d0e7002c41751,conduction,379,557,319,60,36,521,0.8985915492957747,0.841688654353562,0.9353680430879712,0.8692098092643051
seed42,42,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,0;1;2;3;4;5;6;7;8;9;10;11,b45e21c9f0fe6072767bfd9f55a4d70c48703c024a26b76ac88d0e7002c41751,ectopy,82,854,32,50,45,809,0.4155844155844156,0.3902439024390244,0.9473067915690868,0.4025157232704403
seed42,42,II;aVR;aVL;aVF;V2,1;3;4;5;7,1e5c69cb01a55b5fd94747096197dff6922be74b58a64cdbe61173dc838c3471,NSR,130,806,100,30,73,733,0.5780346820809249,0.7692307692307693,0.9094292803970224,0.6600660066006601
seed42,42,II;aVR;aVL;aVF;V2,1;3;4;5;7,1e5c69cb01a55b5fd94747096197dff6922be74b58a64cdbe61173dc838c3471,AF,180,756,161,19,18,738,0.8994413407821229,0.8944444444444445,0.9761904761904762,0.8969359331476323
seed42,42,II;aVR;aVL;aVF;V2,1;3;4;5;7,1e5c69cb01a55b5fd94747096197dff6922be74b58a64cdbe61173dc838c3471,ST_change_ischemia_surrogate,165,771,115,50,54,717,0.6804733727810651,0.696969696969697,0.9299610894941636,0.688622754491018
seed42,42,II;aVR;aVL;aVF;V2,1;3;4;5;7,1e5c69cb01a55b5fd94747096197dff6922be74b58a64cdbe61173dc838c3471,conduction,379,557,316,63,33,524,0.9054441260744984,0.8337730870712401,0.940754039497307,0.8681318681318682
seed42,42,II;aVR;aVL;aVF;V2,1;3;4;5;7,1e5c69cb01a55b5fd94747096197dff6922be74b58a64cdbe61173dc838c3471,ectopy,82,854,29,53,37,817,0.4393939393939394,0.3536585365853658,0.9566744730679156,0.3918918918918919
seed42,42,I;III;aVR;aVL;aVF;V5,0;2;3;4;5;10,70a92d37697d655e3dd8e3fd50e10b7757eb58acf57708efe68d20ec767322f4,NSR,130,806,93,37,72,734,0.5636363636363636,0.7153846153846154,0.9106699751861044,0.6305084745762712
seed42,42,I;III;aVR;aVL;aVF;V5,0;2;3;4;5;10,70a92d37697d655e3dd8e3fd50e10b7757eb58acf57708efe68d20ec767322f4,AF,180,756,161,19,20,736,0.8895027624309392,0.8944444444444445,0.9735449735449736,0.8919667590027701
seed42,42,I;III;aVR;aVL;aVF;V5,0;2;3;4;5;10,70a92d37697d655e3dd8e3fd50e10b7757eb58acf57708efe68d20ec767322f4,ST_change_ischemia_surrogate,165,771,107,58,50,721,0.6815286624203821,0.6484848484848484,0.9351491569390402,0.6645962732919255
seed42,42,I;III;aVR;aVL;aVF;V5,0;2;3;4;5;10,70a92d37697d655e3dd8e3fd50e10b7757eb58acf57708efe68d20ec767322f4,conduction,379,557,310,69,37,520,0.8933717579250721,0.8179419525065963,0.933572710951526,0.8539944903581267
seed42,42,I;III;aVR;aVL;aVF;V5,0;2;3;4;5;10,70a92d37697d655e3dd8e3fd50e10b7757eb58acf57708efe68d20ec767322f4,ectopy,82,854,35,47,51,803,0.4069767441860465,0.4268292682926829,0.9402810304449648,0.4166666666666667
