p1_dataset,p1_split,record_id,published_pretraining_split
cpsc2018_mc,train,A0657,train
cpsc2018_mc,train,A2029,train
cpsc2018_mc,train,A3424,train
cpsc2018_mc,train,A0438,train
cpsc2018_mc,train,A4896,train
cpsc2018_mc,train,A5529,train
cpsc2018_mc,train,A2139,train
cpsc2018_mc,train,A3091,train
cpsc2018_mc,train,A5108,train
cpsc2018_mc,train,A3323,valid
cpsc2018_mc,train,A4379,valid
cpsc2018_mc,train,A6368,train
cpsc2018_mc,train,A1175,train
cpsc2018_mc,train,A3676,train
cpsc2018_mc,train,A0268,test
cpsc2018_mc,train,A1326,test
cpsc2018_mc,train,A0782,train
cpsc2018_mc,train,A0293,train
cpsc2018_mc,train,A4820,train
cpsc2018_mc,train,A0687,train
cpsc2018_mc,train,A3170,train
cpsc2018_mc,train,A5116,train
cpsc2018_mc,train,A5653,train
cpsc2018_mc,train,A1922,train
cpsc2018_mc,train,A2891,train
cpsc2018_mc,train,A6817,train
cpsc2018_mc,train,A1780,train
cpsc2018_mc,train,A1712,train
cpsc2018_mc,train,A6694,train
cpsc2018_mc,train,A6522,train
cpsc2018_mc,train,A6410,train
cpsc2018_mc,train,A2908,train
cpsc2018_mc,train,A0633,train
cpsc2018_mc,train,A1673,train
cpsc2018_mc,train,A3955,train
cpsc2018_mc,train,A3242,train
cpsc2018_mc,train,A5964,train
cpsc2018_mc,train,A4885,valid
cpsc2018_mc,train,A5945,valid
cpsc2018_mc,train,A2233,train
cpsc2018_mc,train,A5169,train
cpsc2018_mc,train,A6624,train
cpsc2018_mc,train,A5840,train
cpsc2018_mc,train,A1504,train
cpsc2018_mc,train,A1697,test
cpsc2018_mc,train,A0091,train
cpsc2018_mc,train,A4372,train
cpsc2018_mc,train,A2728,valid
cpsc2018_mc,train,A5447,test
cpsc2018_mc,train,A3004,train
cpsc2018_mc,train,A3782,train
cpsc2018_mc,train,A3343,train
cpsc2018_mc,train,A2045,train
cpsc2018_mc,train,A4261,train
cpsc2018_mc,train,A3629,train
cpsc2018_mc,train,A2502,train
cpsc2018_mc,train,A0554,test
cpsc2018_mc,train,A0152,train
cpsc2018_mc,train,A3390,train
cpsc2018_mc,train,A5251,train
cpsc2018_mc,train,A1656,train
cpsc2018_mc,train,A3931,train
cpsc2018_mc,train,A4806,train
cpsc2018_mc,train,A0381,train
cpsc2018_mc,train,A2494,train
cpsc2018_mc,train,A3054,train
cpsc2018_mc,train,A2195,train
cpsc2018_mc,train,A1788,train
cpsc2018_mc,train,A4175,train
cpsc2018_mc,train,A3503,train
cpsc2018_mc,train,A5711,train
cpsc2018_mc,train,A3294,train
cpsc2018_mc,train,A1905,train
cpsc2018_mc,train,A4240,valid
cpsc2018_mc,train,A4946,train
cpsc2018_mc,train,A4678,train
cpsc2018_mc,train,A6792,train
cpsc2018_mc,train,A5221,train
cpsc2018_mc,train,A1988,test
cpsc2018_mc,train,A1161,train
cpsc2018_mc,train,A0386,train
cpsc2018_mc,train,A6845,train
cpsc2018_mc,train,A3670,train
cpsc2018_mc,train,A2872,train
cpsc2018_mc,train,A2591,train
cpsc2018_mc,train,A3539,train
cpsc2018_mc,train,A0596,train
cpsc2018_mc,train,A2578,train
cpsc2018_mc,train,A6195,train
cpsc2018_mc,train,A2845,train
cpsc2018_mc,train,A1812,train
cpsc2018_mc,train,A1458,train
cpsc2018_mc,train,A4453,train
cpsc2018_mc,train,A2143,valid
cpsc2018_mc,train,A3393,test
cpsc2018_mc,train,A6365,train
cpsc2018_mc,train,A4623,test
cpsc2018_mc,train,A2448,test
cpsc2018_mc,train,A1923,test
cpsc2018_mc,train,A1921,test
cpsc2018_mc,train,A1667,train
cpsc2018_mc,train,A2414,train
cpsc2018_mc,train,A0224,test
cpsc2018_mc,train,A6200,train
cpsc2018_mc,train,A6640,train
cpsc2018_mc,train,A0549,train
cpsc2018_mc,train,A2849,train
cpsc2018_mc,train,A1275,train
cpsc2018_mc,train,A3891,train
cpsc2018_mc,train,A4026,train
cpsc2018_mc,train,A1005,train
cpsc2018_mc,train,A0822,train
cpsc2018_mc,train,A1909,train
cpsc2018_mc,train,A3471,train
cpsc2018_mc,train,A5925,train
cpsc2018_mc,train,A1568,valid
cpsc2018_mc,train,A6420,train
cpsc2018_mc,train,A1723,train
cpsc2018_mc,train,A4084,test
cpsc2018_mc,train,A3659,train
cpsc2018_mc,train,A3886,valid
cpsc2018_mc,train,A3911,train
cpsc2018_mc,train,A3245,train
cpsc2018_mc,train,A4234,train
cpsc2018_mc,train,A3076,train
cpsc2018_mc,train,A4555,train
cpsc2018_mc,train,A2922,train
cpsc2018_mc,train,A6621,train
cpsc2018_mc,train,A0842,train
cpsc2018_mc,train,A3359,train
cpsc2018_mc,train,A5054,train
cpsc2018_mc,train,A5340,train
cpsc2018_mc,train,A1114,train
cpsc2018_mc,train,A2866,train
cpsc2018_mc,train,A2686,test
cpsc2018_mc,train,A6483,train
cpsc2018_mc,train,A4639,valid
cpsc2018_mc,train,A6485,train
cpsc2018_mc,train,A5009,train
cpsc2018_mc,train,A0180,train
cpsc2018_mc,train,A3631,train
cpsc2018_mc,train,A6675,train
cpsc2018_mc,train,A1221,train
cpsc2018_mc,train,A4428,train
cpsc2018_mc,train,A1954,train
cpsc2018_mc,train,A1798,unlisted
cpsc2018_mc,train,A6426,train
cpsc2018_mc,train,A3840,train
cpsc2018_mc,train,A5815,valid
cpsc2018_mc,train,A5659,valid
cpsc2018_mc,train,A4671,train
cpsc2018_mc,train,A6757,train
cpsc2018_mc,train,A6538,train
cpsc2018_mc,train,A6474,train
cpsc2018_mc,train,A5417,train
cpsc2018_mc,train,A6130,train
cpsc2018_mc,train,A3317,train
cpsc2018_mc,train,A4303,test
cpsc2018_mc,train,A6108,train
cpsc2018_mc,train,A3462,test
cpsc2018_mc,train,A5762,train
cpsc2018_mc,train,A0262,train
cpsc2018_mc,train,A1311,train
cpsc2018_mc,train,A4095,valid
cpsc2018_mc,train,A0430,valid
cpsc2018_mc,train,A3758,train
cpsc2018_mc,train,A1323,train
cpsc2018_mc,train,A2231,valid
cpsc2018_mc,train,A1824,train
cpsc2018_mc,train,A0043,train
cpsc2018_mc,train,A0090,train
cpsc2018_mc,train,A0191,test
cpsc2018_mc,train,A5652,train
cpsc2018_mc,train,A3069,train
cpsc2018_mc,train,A4051,train
cpsc2018_mc,train,A0259,train
cpsc2018_mc,train,A6005,test
cpsc2018_mc,train,A6506,test
cpsc2018_mc,train,A6519,train
cpsc2018_mc,train,A1290,train
cpsc2018_mc,train,A6177,valid
cpsc2018_mc,train,A3378,train
cpsc2018_mc,train,A4788,train
cpsc2018_mc,train,A4333,train
cpsc2018_mc,train,A5564,train
cpsc2018_mc,train,A4253,valid
cpsc2018_mc,train,A0234,train
cpsc2018_mc,train,A2716,train
cpsc2018_mc,train,A3548,test
cpsc2018_mc,train,A4829,test
cpsc2018_mc,train,A2296,train
cpsc2018_mc,train,A5805,train
cpsc2018_mc,train,A6209,train
cpsc2018_mc,train,A5666,train
cpsc2018_mc,train,A5534,train
cpsc2018_mc,train,A1695,test
cpsc2018_mc,train,A2505,test
cpsc2018_mc,train,A6334,train
cpsc2018_mc,train,A5837,train
cpsc2018_mc,train,A3113,train
cpsc2018_mc,train,A2014,train
cpsc2018_mc,train,A3730,train
cpsc2018_mc,train,A0683,train
cpsc2018_mc,train,A3750,train
cpsc2018_mc,train,A6708,train
cpsc2018_mc,train,A3204,train
cpsc2018_mc,train,A2791,train
cpsc2018_mc,train,A2524,train
cpsc2018_mc,train,A6057,train
cpsc2018_mc,train,A4475,train
cpsc2018_mc,train,A0834,train
cpsc2018_mc,train,A5501,train
cpsc2018_mc,train,A5219,train
cpsc2018_mc,train,A6790,train
cpsc2018_mc,train,A3618,train
cpsc2018_mc,train,A5372,train
cpsc2018_mc,train,A6060,train
cpsc2018_mc,train,A2699,train
cpsc2018_mc,train,A1328,train
cpsc2018_mc,train,A3387,train
cpsc2018_mc,train,A2695,train
cpsc2018_mc,train,A0327,train
cpsc2018_mc,train,A2061,train
cpsc2018_mc,train,A4239,train
cpsc2018_mc,train,A0107,train
cpsc2018_mc,train,A5455,train
cpsc2018_mc,train,A0028,train
cpsc2018_mc,train,A1399,valid
cpsc2018_mc,train,A0778,train
cpsc2018_mc,train,A4862,train
cpsc2018_mc,train,A0893,train
cpsc2018_mc,train,A5859,train
cpsc2018_mc,train,A3772,valid
cpsc2018_mc,train,A3141,train
cpsc2018_mc,train,A0350,train
cpsc2018_mc,train,A5125,test
cpsc2018_mc,train,A6091,valid
cpsc2018_mc,train,A2299,train
cpsc2018_mc,train,A5252,train
cpsc2018_mc,train,A4480,train
cpsc2018_mc,train,A6830,train
cpsc2018_mc,train,A6101,train
cpsc2018_mc,train,A4259,test
cpsc2018_mc,train,A3843,train
cpsc2018_mc,train,A1204,train
cpsc2018_mc,train,A5422,train
cpsc2018_mc,train,A6445,train
cpsc2018_mc,train,A5890,train
cpsc2018_mc,train,A0868,valid
cpsc2018_mc,train,A1724,train
cpsc2018_mc,train,A2917,train
cpsc2018_mc,train,A6009,train
cpsc2018_mc,train,A0956,train
cpsc2018_mc,train,A5766,train
cpsc2018_mc,train,A3416,valid
cpsc2018_mc,train,A1594,train
