left,right,overlap
original/cpsc2018/test,original/cpsc2018/train,0
original/cpsc2018/test,original/cpsc2018/val,0
original/cpsc2018/test,original/cpsc2018_mc/test,67
original/cpsc2018/test,original/cpsc2018_mc/train,324
original/cpsc2018/test,original/cpsc2018_mc/val,83
original/cpsc2018/test,regenerated/cpsc2018_mc_ml/test,68
original/cpsc2018/test,regenerated/cpsc2018_mc_ml/train,333
original/cpsc2018/test,regenerated/cpsc2018_mc_ml/val,73
original/cpsc2018/test,regenerated/cpsc2018_regenerated_20260908/test,109
original/cpsc2018/test,regenerated/cpsc2018_regenerated_20260908/train,307
original/cpsc2018/test,regenerated/cpsc2018_regenerated_20260908/val,58
original/cpsc2018/train,original/cpsc2018/val,0
original/cpsc2018/train,original/cpsc2018_mc/test,343
original/cpsc2018/train,original/cpsc2018_mc/train,1546
original/cpsc2018/train,original/cpsc2018_mc/val,328
original/cpsc2018/train,regenerated/cpsc2018_mc_ml/test,320
original/cpsc2018/train,regenerated/cpsc2018_mc_ml/train,1567
original/cpsc2018/train,regenerated/cpsc2018_mc_ml/val,330
original/cpsc2018/train,regenerated/cpsc2018_regenerated_20260908/test,303
original/cpsc2018/train,regenerated/cpsc2018_regenerated_20260908/train,1620
original/cpsc2018/train,regenerated/cpsc2018_regenerated_20260908/val,294
original/cpsc2018/val,original/cpsc2018_mc/test,65
original/cpsc2018/val,original/cpsc2018_mc/train,345
original/cpsc2018/val,original/cpsc2018_mc/val,64
original/cpsc2018/val,regenerated/cpsc2018_mc_ml/test,81
original/cpsc2018/val,regenerated/cpsc2018_mc_ml/train,316
original/cpsc2018/val,regenerated/cpsc2018_mc_ml/val,77
original/cpsc2018/val,regenerated/cpsc2018_regenerated_20260908/test,66
original/cpsc2018/val,regenerated/cpsc2018_regenerated_20260908/train,285
original/cpsc2018/val,regenerated/cpsc2018_regenerated_20260908/val,123
original/cpsc2018_mc/test,original/cpsc2018_mc/train,0
original/cpsc2018_mc/test,original/cpsc2018_mc/val,0
original/cpsc2018_mc/test,regenerated/cpsc2018_mc_ml/test,139
original/cpsc2018_mc/test,regenerated/cpsc2018_mc_ml/train,672
original/cpsc2018_mc/test,regenerated/cpsc2018_mc_ml/val,125
original/cpsc2018_mc/test,regenerated/cpsc2018_regenerated_20260908/test,84
original/cpsc2018_mc/test,regenerated/cpsc2018_regenerated_20260908/train,319
original/cpsc2018_mc/test,regenerated/cpsc2018_regenerated_20260908/val,72
original/cpsc2018_mc/train,original/cpsc2018_mc/val,0
original/cpsc2018_mc/train,regenerated/cpsc2018_mc_ml/test,658
original/cpsc2018_mc/train,regenerated/cpsc2018_mc_ml/train,3047
original/cpsc2018_mc/train,regenerated/cpsc2018_mc_ml/val,652
original/cpsc2018_mc/train,regenerated/cpsc2018_regenerated_20260908/test,337
original/cpsc2018_mc/train,regenerated/cpsc2018_regenerated_20260908/train,1551
original/cpsc2018_mc/train,regenerated/cpsc2018_regenerated_20260908/val,327
original/cpsc2018_mc/val,regenerated/cpsc2018_mc_ml/test,131
original/cpsc2018_mc/val,regenerated/cpsc2018_mc_ml/train,634
original/cpsc2018_mc/val,regenerated/cpsc2018_mc_ml/val,168
original/cpsc2018_mc/val,regenerated/cpsc2018_regenerated_20260908/test,57
original/cpsc2018_mc/val,regenerated/cpsc2018_regenerated_20260908/train,342
original/cpsc2018_mc/val,regenerated/cpsc2018_regenerated_20260908/val,76
regenerated/cpsc2018_mc_ml/test,regenerated/cpsc2018_mc_ml/train,0
regenerated/cpsc2018_mc_ml/test,regenerated/cpsc2018_mc_ml/val,0
regenerated/cpsc2018_mc_ml/test,regenerated/cpsc2018_regenerated_20260908/test,72
regenerated/cpsc2018_mc_ml/test,regenerated/cpsc2018_regenerated_20260908/train,323
regenerated/cpsc2018_mc_ml/test,regenerated/cpsc2018_regenerated_20260908/val,79
regenerated/cpsc2018_mc_ml/train,regenerated/cpsc2018_mc_ml/val,0
regenerated/cpsc2018_mc_ml/train,regenerated/cpsc2018_regenerated_20260908/test,329
regenerated/cpsc2018_mc_ml/train,regenerated/cpsc2018_regenerated_20260908/train,1577
regenerated/cpsc2018_mc_ml/train,regenerated/cpsc2018_regenerated_20260908/val,325
regenerated/cpsc2018_mc_ml/val,regenerated/cpsc2018_regenerated_20260908/test,79
regenerated/cpsc2018_mc_ml/val,regenerated/cpsc2018_regenerated_20260908/train,333
regenerated/cpsc2018_mc_ml/val,regenerated/cpsc2018_regenerated_20260908/val,74
regenerated/cpsc2018_regenerated_20260908/test,regenerated/cpsc2018_regenerated_20260908/train,0
regenerated/cpsc2018_regenerated_20260908/test,regenerated/cpsc2018_regenerated_20260908/val,0
regenerated/cpsc2018_regenerated_20260908/train,regenerated/cpsc2018_regenerated_20260908/val,0
