record_id,sample,seconds,symbol,aux_note
418,18,0.072,+,(N
418,99624,398.496,+,(VFL
418,101499,405.996,+,(N
418,133092,532.368,+,(VFL
418,134038,536.152,+,(N
418,135775,543.1,+,(VFL
418,136628,546.512,+,(N
418,153057,612.228,+,(VFL
418,154115,616.46,+,(N
418,154942,619.768,+,(VFL
418,156291,625.164,+,(N
418,159442,637.768,+,(VFL
418,160516,642.064,+,(N
418,169192,676.768,+,(VFL
418,169807,679.228,+,(N
418,173054,692.216,+,(VFL
418,173673,694.692,+,(N
418,174788,699.152,+,(VFL
418,175403,701.612,+,(N
418,176259,705.036,+,(VFL
418,177868,711.472,+,(N
418,190080,760.32,+,(VFL
418,191249,764.996,+,(N
418,191807,767.228,+,(VFL
418,192695,770.78,+,(N
418,195631,782.524,+,(VFL
418,196794,787.176,+,(N
418,200211,800.844,+,(VFL
418,200634,802.536,+,(N
418,216788,867.152,+,(VFL
418,219038,876.152,+,(N
418,219961,879.844,+,(VFL
418,224019,896.076,+,(N
418,225355,901.42,+,(VFL
418,226057,904.228,+,(N
418,227211,908.844,+,(VFL
418,229269,917.076,+,(N
418,231310,925.24,+,(VFL
418,232724,930.896,+,(N
418,234499,937.996,+,(VFL
418,235538,942.152,+,(N
418,254230,1016.92,+,(VFL
418,255365,1021.46,+,(N
418,256019,1024.076,+,(VFL
418,256884,1027.536,+,(N
418,257249,1028.996,+,(VFL
418,257980,1031.92,+,(N
418,259557,1038.228,+,(VFL
418,261903,1047.612,+,(N
418,262749,1050.996,+,(VFL
418,263519,1054.076,+,(N
418,269307,1077.228,+,(VFL
418,270999,1083.996,+,(N
418,271326,1085.304,+,(VFL
418,271596,1086.384,+,(N
418,272057,1088.228,+,(VFL
418,272384,1089.536,+,(N
418,273673,1094.692,+,(VFL
418,275846,1103.384,+,(N
418,279576,1118.304,+,(VFL
418,281384,1125.536,+,(N
418,289384,1157.536,+,(VFL
418,291211,1164.844,+,(N
418,300480,1201.92,+,(VFL
